dataset_name,model_name,threshold,n,prevalence,tp,fp,positive_n,net_benefit,treat_all_net_benefit,treat_none_net_benefit,net_benefit_minus_treat_all,net_benefit_minus_treat_none,interpretation_note,display_name
eicu_external,P12_true_trained_clinical_landing_model,0.0050,1051357,0.0215,22593,1028764,1051357,0.0166,0.0166,0.0000,0.0000,0.0166,supplementary clinical utility estimate; not an automatic intervention trigger,P12 simplified implementation candidate
eicu_external,P12_true_trained_clinical_landing_model,0.0100,1051357,0.0215,22593,1028764,1051357,0.0116,0.0116,0.0000,-0.0000,0.0116,supplementary clinical utility estimate; not an automatic intervention trigger,P12 simplified implementation candidate
eicu_external,P12_true_trained_clinical_landing_model,0.0200,1051357,0.0215,22593,1028751,1051344,0.0015,0.0015,0.0000,0.0000,0.0015,supplementary clinical utility estimate; not an automatic intervention trigger,P12 simplified implementation candidate
eicu_external,P12_true_trained_clinical_landing_model,0.0300,1051357,0.0215,22593,1028566,1051159,-0.0088,-0.0088,0.0000,0.0000,-0.0088,supplementary clinical utility estimate; not an automatic intervention trigger,P12 simplified implementation candidate
eicu_external,P12_true_trained_clinical_landing_model,0.0500,1051357,0.0215,22558,1022370,1044928,-0.0297,-0.0300,0.0000,0.0003,-0.0297,supplementary clinical utility estimate; not an automatic intervention trigger,P12 simplified implementation candidate
eicu_external,P12_true_trained_clinical_landing_model,0.0750,1051357,0.0215,22479,986687,1009166,-0.0547,-0.0578,0.0000,0.0031,-0.0547,supplementary clinical utility estimate; not an automatic intervention trigger,P12 simplified implementation candidate
eicu_external,P12_true_trained_clinical_landing_model,0.1000,1051357,0.0215,22285,918110,940395,-0.0758,-0.0872,0.0000,0.0114,-0.0758,supplementary clinical utility estimate; not an automatic intervention trigger,P12 simplified implementation candidate
eicu_external,P12_true_trained_clinical_landing_model,0.1500,1051357,0.0215,21271,734402,755673,-0.1030,-0.1512,0.0000,0.0482,-0.1030,supplementary clinical utility estimate; not an automatic intervention trigger,P12 simplified implementation candidate
eicu_external,P12_true_trained_clinical_landing_model,0.2000,1051357,0.0215,19776,551741,571517,-0.1124,-0.2231,0.0000,0.1108,-0.1124,supplementary clinical utility estimate; not an automatic intervention trigger,P12 simplified implementation candidate
eicu_external,P12_true_trained_clinical_landing_model,0.3000,1051357,0.0215,16560,293461,310021,-0.1039,-0.3979,0.0000,0.2940,-0.1039,supplementary clinical utility estimate; not an automatic intervention trigger,P12 simplified implementation candidate
eicu_external,P15_clinically_parsimonious_transport_model,0.0050,1051357,0.0215,22593,1028764,1051357,0.0166,0.0166,0.0000,0.0000,0.0166,supplementary clinical utility estimate; not an automatic intervention trigger,P15 double-anchor model
eicu_external,P15_clinically_parsimonious_transport_model,0.0100,1051357,0.0215,22593,1028764,1051357,0.0116,0.0116,0.0000,-0.0000,0.0116,supplementary clinical utility estimate; not an automatic intervention trigger,P15 double-anchor model
eicu_external,P15_clinically_parsimonious_transport_model,0.0200,1051357,0.0215,22593,1028731,1051324,0.0015,0.0015,0.0000,0.0000,0.0015,supplementary clinical utility estimate; not an automatic intervention trigger,P15 double-anchor model
eicu_external,P15_clinically_parsimonious_transport_model,0.0300,1051357,0.0215,22593,1028217,1050810,-0.0088,-0.0088,0.0000,0.0000,-0.0088,supplementary clinical utility estimate; not an automatic intervention trigger,P15 double-anchor model
eicu_external,P15_clinically_parsimonious_transport_model,0.0500,1051357,0.0215,22547,1016020,1038567,-0.0294,-0.0300,0.0000,0.0006,-0.0294,supplementary clinical utility estimate; not an automatic intervention trigger,P15 double-anchor model
eicu_external,P15_clinically_parsimonious_transport_model,0.0750,1051357,0.0215,22437,963272,985709,-0.0529,-0.0578,0.0000,0.0049,-0.0529,supplementary clinical utility estimate; not an automatic intervention trigger,P15 double-anchor model
eicu_external,P15_clinically_parsimonious_transport_model,0.1000,1051357,0.0215,22158,877125,899283,-0.0716,-0.0872,0.0000,0.0156,-0.0716,supplementary clinical utility estimate; not an automatic intervention trigger,P15 double-anchor model
eicu_external,P15_clinically_parsimonious_transport_model,0.1500,1051357,0.0215,20897,671906,692803,-0.0929,-0.1512,0.0000,0.0583,-0.0929,supplementary clinical utility estimate; not an automatic intervention trigger,P15 double-anchor model
eicu_external,P15_clinically_parsimonious_transport_model,0.2000,1051357,0.0215,19278,487225,506503,-0.0975,-0.2231,0.0000,0.1256,-0.0975,supplementary clinical utility estimate; not an automatic intervention trigger,P15 double-anchor model
eicu_external,P15_clinically_parsimonious_transport_model,0.3000,1051357,0.0215,15942,246317,262259,-0.0852,-0.3979,0.0000,0.3126,-0.0852,supplementary clinical utility estimate; not an automatic intervention trigger,P15 double-anchor model
