feature_set,feature,feature_order,mimic_missing_rate,eicu_missing_rate,clinical_domain,clinical_interpretability,display_model_name,display_feature_set_name,legacy_model_id,legacy_feature_set_id,manuscript_role,naming_note
F40_balanced_transport_set,support_respiratory_component,15,0.0,0.0,support_intensity_proxy,derived_but_clinically_named,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,hr_slope_6h,16,0.005795927220761987,0.00329669179926514,circulation_vitals,derived_but_clinically_named,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,creatinine_relative_rise_from_24h_min,17,0.025059330900553754,0.05043767245569298,renal,derived_but_clinically_named,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,platelet_relative_drop_24h,18,0.02962398244315717,0.07147619695308063,lab_organ_function,derived_but_clinically_named,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,antibiotics_active_current,19,0.0,0.0,respiration,direct_or_bedside,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,culture_flag_current,20,0.0,0.0,respiration,direct_or_bedside,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,support_proxy_component_count,21,0.0,0.0,support_intensity_proxy,derived_but_clinically_named,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,creatinine_hours_since_last_real_measurement,22,0.001805445683517493,0.0026965150752789016,renal,derived_but_clinically_named,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,platelet_hours_since_last_real_measurement,23,0.0021627070201852656,0.00454935859084973,lab_organ_function,derived_but_clinically_named,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,wbc_hours_since_last_real_measurement,24,0.0020797713527445326,0.004467559544474427,lab_organ_function,derived_but_clinically_named,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,fio2_hours_since_last_real_measurement,25,0.14524587235562814,0.13432925257548103,respiration,derived_but_clinically_named,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,map_latest_value,26,0.10089442927501467,0.688134477632241,circulation_vitals,direct_or_bedside,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,map_deficit,27,0.10089442927501467,0.688134477632241,circulation_vitals,direct_or_bedside,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,map_below_65_burden_24h,28,0.0,0.0,circulation_vitals,derived_but_clinically_named,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,shock_index,29,0.14515655702146119,0.7217462764788745,circulation_vitals,direct_or_bedside,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,temperature_latest_value,30,0.725329828769745,0.6773607823032519,circulation_vitals,direct_or_bedside,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,fio2_latest_value,31,0.8253598132033583,0.6957379843383361,respiration,direct_or_bedside,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,spo2_fio2_ratio,32,0.8286676704008983,0.6982984847202235,respiration,direct_or_bedside,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,lactate_latest_value,33,0.5747218465307372,0.8294118933911127,lab_organ_function,direct_or_bedside,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,lactate_slope_6h,34,0.5463227600990124,0.8074165102814743,lab_organ_function,derived_but_clinically_named,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,lactate_gt2_burden_24h,35,0.0,0.0,lab_organ_function,derived_but_clinically_named,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,oliguria_burden_24h,36,0.0,0.0,renal,derived_but_clinically_named,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,urine_output_latest_value,37,0.48847513205910126,0.7533473406273987,renal,direct_or_bedside,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,high_fio2_burden_24h,38,0.0,0.0,respiration,derived_but_clinically_named,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,low_spo2_burden_24h,39,0.0,0.0,respiration,derived_but_clinically_named,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
F40_balanced_transport_set,bilirubin_total_latest_value,40,0.5879851736545283,0.5460533386851469,lab_organ_function,direct_or_bedside,,F40_balanced_transport_feature_set,,F40_balanced_transport_set,,
