model_name,dataset_name,scenario,prediction_source,label_source,cluster_id_used,cluster_level,point_estimate_source,source_script,notes
P15_clinically_parsimonious_transport_model,mimic_internal,primary_model,D:\try\parsimonious_features\model_P15_minimal_bedside_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_Test_All.parquet,patient_id,patient-level,manuscript_assets/tables/Table2_Main_Model_Performance.csv,manuscript_assets/audit/run_bootstrap_ci.py,Frozen model inference only; no retraining.
P15_clinically_parsimonious_transport_model,eicu_external,current_latest_value_reference,D:\try\parsimonious_features\model_P15_minimal_bedside_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet,patient_id,patient-level,manuscript_assets/tables/Table4_Lab_Freshness_Sensitivity.csv,manuscript_assets/audit/run_bootstrap_ci.py,Fixed-model lab freshness evaluation; no retraining.
P12_true_trained_clinical_landing_model,eicu_external,current_latest_value_reference,D:\try\results_final\clinical_implementation\model_P12_true_trained_clinical_landing_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet,patient_id,patient-level,manuscript_assets/tables/Table4_Lab_Freshness_Sensitivity.csv,manuscript_assets/audit/run_bootstrap_ci.py,Fixed-model lab freshness evaluation; no retraining.
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,current_latest_value_reference,D:\try\results_final\clinical_implementation\model_P10_true_trained_ultra_minimal_sensitivity_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet,patient_id,patient-level,manuscript_assets/tables/Table4_Lab_Freshness_Sensitivity.csv,manuscript_assets/audit/run_bootstrap_ci.py,Fixed-model lab freshness evaluation; no retraining.
P15_clinically_parsimonious_transport_model,eicu_external,lab12h_freshness_window,D:\try\parsimonious_features\model_P15_minimal_bedside_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet,patient_id,patient-level,manuscript_assets/tables/Table4_Lab_Freshness_Sensitivity.csv,manuscript_assets/audit/run_bootstrap_ci.py,Fixed-model lab freshness evaluation; no retraining.
P12_true_trained_clinical_landing_model,eicu_external,lab12h_freshness_window,D:\try\results_final\clinical_implementation\model_P12_true_trained_clinical_landing_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet,patient_id,patient-level,manuscript_assets/tables/Table4_Lab_Freshness_Sensitivity.csv,manuscript_assets/audit/run_bootstrap_ci.py,Fixed-model lab freshness evaluation; no retraining.
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,lab12h_freshness_window,D:\try\results_final\clinical_implementation\model_P10_true_trained_ultra_minimal_sensitivity_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet,patient_id,patient-level,manuscript_assets/tables/Table4_Lab_Freshness_Sensitivity.csv,manuscript_assets/audit/run_bootstrap_ci.py,Fixed-model lab freshness evaluation; no retraining.
P15_clinically_parsimonious_transport_model,eicu_external,lab24h_freshness_window,D:\try\parsimonious_features\model_P15_minimal_bedside_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet,patient_id,patient-level,manuscript_assets/tables/Table4_Lab_Freshness_Sensitivity.csv,manuscript_assets/audit/run_bootstrap_ci.py,Fixed-model lab freshness evaluation; no retraining.
P12_true_trained_clinical_landing_model,eicu_external,lab24h_freshness_window,D:\try\results_final\clinical_implementation\model_P12_true_trained_clinical_landing_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet,patient_id,patient-level,manuscript_assets/tables/Table4_Lab_Freshness_Sensitivity.csv,manuscript_assets/audit/run_bootstrap_ci.py,Fixed-model lab freshness evaluation; no retraining.
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,lab24h_freshness_window,D:\try\results_final\clinical_implementation\model_P10_true_trained_ultra_minimal_sensitivity_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet,patient_id,patient-level,manuscript_assets/tables/Table4_Lab_Freshness_Sensitivity.csv,manuscript_assets/audit/run_bootstrap_ci.py,Fixed-model lab freshness evaluation; no retraining.
P15_clinically_parsimonious_transport_model,eicu_external,stale_lab_as_missing,D:\try\parsimonious_features\model_P15_minimal_bedside_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet,patient_id,patient-level,manuscript_assets/tables/Table4_Lab_Freshness_Sensitivity.csv,manuscript_assets/audit/run_bootstrap_ci.py,Fixed-model lab freshness evaluation; no retraining.
P12_true_trained_clinical_landing_model,eicu_external,stale_lab_as_missing,D:\try\results_final\clinical_implementation\model_P12_true_trained_clinical_landing_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet,patient_id,patient-level,manuscript_assets/tables/Table4_Lab_Freshness_Sensitivity.csv,manuscript_assets/audit/run_bootstrap_ci.py,Fixed-model lab freshness evaluation; no retraining.
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,stale_lab_as_missing,D:\try\results_final\clinical_implementation\model_P10_true_trained_ultra_minimal_sensitivity_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet,patient_id,patient-level,manuscript_assets/tables/Table4_Lab_Freshness_Sensitivity.csv,manuscript_assets/audit/run_bootstrap_ci.py,Fixed-model lab freshness evaluation; no retraining.
